,Microphone
908,-13996
909,-14156
910,-14628
911,-14332
912,-14180
913,-13860
914,-14276
915,-14420
916,-14324
917,-14676
918,-14980
919,-14836
920,-14484
921,-15244
922,-15724
923,-15940
924,-14660
925,-14060
926,-14156
927,-14428
928,-13932
929,-14044
930,-13580
931,-13372
932,-13276
933,-13468
934,-13708
935,-13644
936,-13556
937,-13684
938,-14564
939,-15284
940,-15132
941,-14676
942,-14748
943,-14804
944,-15036
945,-15436
946,-15308
947,-15180
948,-15556
949,-15340
950,-15084
951,-15092
952,-15004
953,-15356
954,-15260
955,-14716
956,-14484
957,-13700
958,-13780
959,-14380
960,-14212
961,-15204
962,-15540
963,-15532
964,-15356
965,-15220
966,-15036
967,-15540
968,-15780
969,-15276
970,-15668
971,-15940
972,-15252
973,-14508
974,-14132
975,-14388
976,-14740
977,-14892
978,-15044
979,-15108
980,-14940
981,-15540
982,-15876
983,-15372
984,-14940
985,-14548
986,-14900
987,-15284
988,-15324
989,-15284
990,-15524
991,-15412
992,-16148
993,-15636
994,-15556
995,-15588
996,-15084
997,-14924
998,-15700
999,-16268
1000,-16228
1001,-14988
1002,-14308
1003,-14484
1004,-15444
1005,-15436
1006,-14860
1007,-14356
1008,-15180
1009,-15804
1010,-16180
1011,-15964
1012,-15284
1013,-15596
1014,-15756
1015,-16308
1016,-15884
1017,-15740
1018,-15436
1019,-15572
1020,-16188
1021,-16076
1022,-15724
1023,-15668
1024,-15644
1025,-15660
1026,-15772
1027,-16364
1028,-15900
1029,-15588
1030,-15148
1031,-15572
1032,-16180
1033,-16076
1034,-16004
1035,-15916
1036,-15484
1037,-15636
1038,-15572
1039,-15988
1040,-15340
1041,-15652
1042,-16156
1043,-15876
1044,-15180
1045,-14236
1046,-13956
1047,-15540
1048,-16076
1049,-16108
1050,-15436
1051,-14932
1052,-14596
1053,-15228
1054,-15556
1055,-15068
1056,-14884
1057,-14372
1058,-14404
1059,-15076
1060,-15068
1061,-15244
1062,-14788
1063,-14588
1064,-15308
1065,-16068
1066,-15884
1067,-16084
1068,-15652
1069,-15852
1070,-15772
1071,-15260
1072,-15084
1073,-15548
1074,-15132
1075,-14748
1076,-14196
1077,-13956
1078,-14292
1079,-14628
1080,-15364
1081,-15644
1082,-15620
1083,-15012
1084,-13788
1085,-13924
1086,-14300
1087,-14844
1088,-15188
1089,-15508
1090,-15204
1091,-15276
1092,-15276
1093,-15508
1094,-15548
1095,-15516
1096,-15292
1097,-15276
1098,-15876
1099,-14980
1100,-14116
1101,-13556
1102,-13844
1103,-13996
1104,-14252
1105,-14180
1106,-13964
1107,-13892
1108,-14260
1109,-14116
1110,-13868
1111,-13924
1112,-13604
1113,-13908
1114,-14900
1115,-14420
1116,-14116
1117,-13444
1118,-13388
1119,-14044
1120,-14524
1121,-14548
1122,-14372
1123,-14284
1124,-14628
1125,-15404
1126,-15028
1127,-14732
1128,-14276
1129,-14116
1130,-13780
1131,-13612
1132,-13876
1133,-13716
1134,-14044
1135,-14332
1136,-14412
1137,-14012
1138,-13476
1139,-13428
1140,-13684
1141,-13860
1142,-14212
1143,-14676
1144,-14084
1145,-13972
1146,-14060
1147,-14612
1148,-14852
1149,-14740
1150,-13892
1151,-13372
1152,-14236
1153,-15036
1154,-15444
1155,-14564
1156,-13596
1157,-14020
1158,-14004
1159,-14244
1160,-13772
1161,-13308
1162,-13700
1163,-13996
1164,-14492
1165,-14516
1166,-14340
1167,-13844
1168,-13948
1169,-14548
1170,-15764
1171,-16116
1172,-15460
1173,-15476
