,Timestamps,Temperature,Humidity,Pressure,Distance,Accx,Accy,Accz,Gyrox,Gyroy,Gyroz,Magnox,Magnoy,Magnoz
60,2022-01-11 01:30:05.503592,26.4,58.6,997.0,125.0,1.88,0.33,3.66,4.34,-2.8,4.62,-283.25,12.5,-398.13
61,2022-01-11 01:30:05.550489,26.4,58.6,997.0,126.0,1.88,0.33,3.66,4.2,-2.59,4.62,-287.25,20.5,-389.75
62,2022-01-11 01:30:05.612976,26.3,59.1,997.0,125.0,1.88,0.34,3.66,4.55,-2.87,4.62,-280.5,10.0,-389.5
63,2022-01-11 01:30:05.675480,26.3,59.1,997.0,124.0,1.88,0.34,3.66,4.55,-2.87,4.62,-275.75,14.0,-396.0
64,2022-01-11 01:30:05.737983,26.3,59.1,997.0,124.0,1.88,0.34,3.66,4.27,-2.66,4.69,-282.75,13.75,-390.88
65,2022-01-11 01:30:05.800487,26.3,59.1,997.0,122.0,1.88,0.34,3.66,4.48,-2.87,4.69,-282.25,7.25,-395.38
66,2022-01-11 01:30:05.863002,26.3,59.1,997.0,121.0,1.88,0.33,3.66,4.48,-2.87,4.62,-280.75,8.5,-383.63
67,2022-01-11 01:30:05.925983,26.4,59.0,997.0,122.0,1.88,0.33,3.66,4.48,-2.87,4.62,-281.25,14.5,-395.75
68,2022-01-11 01:30:05.972371,26.4,59.0,997.0,125.0,1.88,0.34,3.66,4.41,-2.59,4.69,-288.75,10.75,-386.63
69,2022-01-11 01:30:06.019267,26.4,59.0,997.0,125.0,1.88,0.34,3.66,4.48,-2.66,4.62,-279.75,9.25,-398.0
70,2022-01-11 01:30:06.081766,26.4,59.0,997.0,126.0,1.88,0.34,3.66,4.48,-2.66,4.62,-286.5,11.5,-400.63
71,2022-01-11 01:30:06.144270,26.4,59.0,997.0,126.0,1.88,0.34,3.66,4.41,-2.66,4.62,-288.25,12.0,-387.5
72,2022-01-11 01:30:06.206763,26.4,58.9,997.0,126.0,1.88,0.34,3.66,4.34,-2.73,4.62,-278.25,12.75,-397.75
73,2022-01-11 01:30:06.269272,26.4,58.9,997.0,122.0,1.88,0.34,3.66,4.2,-2.52,4.76,-284.25,15.25,-388.88
74,2022-01-11 01:30:06.331769,26.4,58.9,997.0,124.0,1.88,0.34,3.66,4.2,-2.52,4.76,-283.75,11.75,-384.88
75,2022-01-11 01:30:06.363040,26.4,58.9,997.0,123.0,1.88,0.34,3.66,4.13,-2.38,4.76,-279.5,11.25,-388.75
76,2022-01-11 01:30:06.441536,26.4,58.8,997.0,127.0,1.88,0.33,3.66,3.99,-2.59,4.83,-281.0,8.0,-399.75
77,2022-01-11 01:30:06.503658,26.4,58.8,997.0,124.0,1.88,0.34,3.66,4.27,-2.59,4.69,-285.75,13.0,-374.88
78,2022-01-11 01:30:06.550533,26.4,58.8,997.0,127.0,1.88,0.34,3.66,4.27,-2.59,4.69,-282.75,13.75,-401.5
79,2022-01-11 01:30:06.613055,26.4,59.0,997.0,122.0,1.88,0.34,3.66,3.92,-2.45,4.76,-282.25,5.5,-386.88
80,2022-01-11 01:30:06.675561,26.4,59.0,997.0,124.0,1.88,0.34,3.66,4.55,-2.52,4.76,-283.5,14.0,-393.75
81,2022-01-11 01:30:06.738060,26.4,59.0,997.0,126.0,1.88,0.34,3.66,4.55,-2.52,4.76,-290.75,13.25,-387.38
82,2022-01-11 01:30:06.800566,26.4,59.0,997.0,125.0,1.88,0.34,3.66,4.55,-2.52,4.76,-284.0,14.0,-405.63
83,2022-01-11 01:30:06.831820,26.4,59.0,997.0,124.0,1.88,0.33,3.66,4.34,-2.38,4.83,-285.75,9.5,-398.38
